signature_id,source_path,source_line,signature_family,template,risk,recommended_rewrite
cd_unsafe_limit_motif_01,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,73,mean_event,"- ""CSRank(Mean({limit_close},{w1}))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_02,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,74,mean_event,"- ""CSRank(Mean({limit_open},{w1}))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_03,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,75,mean_event,"- ""CSRank(Mean({limit_touch},{w1}))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_04,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,76,mean_event,"- ""CSRank(Mean({limit_break},{w1}))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_05,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,77,mean_event,"- ""CSRank(Mean({limit_streak_ge},{w1}))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_06,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,78,mean_event,"- ""CSRank(Mean({high_board},{w1}))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_07,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,79,mean_event,"- ""CSRank(Mean({limit_event},{w1}))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_08,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,80,mean_event,"- ""CSRank(Mean({limit_streak},{w1}))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_09,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,81,mean_event,"- ""CSRank(Sub(Mean({limit_event},{w1}),Mean({limit_event},{w2})))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_10,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,84,zscore_mean_event,"- ""CSRank(Mul(ZScore(Mean(Abs(Delta({price},1)),{w2})),ZScore(Mean({limit_event},{w1}))))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_11,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,85,zscore_mean_event,"- ""CSRank(Mul(ZScore(Mean({flow},{w2})),ZScore(Mean({limit_event},{w1}))))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_12,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,86,csresidual_event,"- ""CSRank(CSResidual(ZScore(Mean({limit_event},{w1})),CSRank(Log($final_float_market_cap))))""",event_or_state_field_consumed_by_continuous_primitive,"SafeCSResidual(EventIntensity(...), continuous_control) only after ValidRatioGate and membership audit"
cd_unsafe_limit_motif_13,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,87,zscore_mean_event,"- ""CSRank(Mul(ZScore(Mean({flow},{w2})),ZScore(Mean({limit_break},{w1}))))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_14,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,88,zscore_mean_event,"- ""CSRank(Mul(ZScore(Mean({flow},{w2})),ZScore(Mean({limit_streak_ge},{w1}))))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_15,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,89,zscore_mean_event,"- ""CSRank(Mul(ZScore(Mean({flow},{w2})),ZScore(Mean({high_board},{w1}))))""",event_or_state_field_consumed_by_continuous_primitive,EventCount/WindowStateCount or StateDwell instead of Mean on sparse/state fields
cd_unsafe_limit_motif_16,src\our_system_phase2\formula_gen_v2\motif_pack_limit_diagnostic.yaml,90,csresidual_event,"- ""CSRank(CSResidual(ZScore(Mean({high_board},{w1})),CSRank(Log($final_float_market_cap))))""",event_or_state_field_consumed_by_continuous_primitive,"SafeCSResidual(EventIntensity(...), continuous_control) only after ValidRatioGate and membership audit"
