expression_hash,expected_candidate_id,actual_candidate_id,expected_generator_arm,actual_generator_arm,lineage_consistent
c8af19143070433e5893b16e,phase3cp_00030,phase3cp_00030,event_state,event_state,true
f935251770c9667bfc4d7cbd,phase3cp_00003,phase3cp_00003,rx_ucb_fresh,rx_ucb_fresh,true
cc39d7f681d1d4c000a17559,phase3cp_00023,phase3cp_00023,challenger_repair,challenger_repair,true
fa31569138d684c28bd7dde3,phase3cp_00002,phase3cp_00002,rx_ucb_fresh,rx_ucb_fresh,true
de754dc2683bb8910406faab,phase3cp_00014,phase3cp_00014,typed_ast_fresh,typed_ast_fresh,true
be3cead61bcf3ae05d5ae47e,phase3cp_00034,phase3cp_00034,random_orthogonal,random_orthogonal,true
d79ef720c2510971b68cb4e3,phase3cp_00009,phase3cp_00009,rx_ucb_fresh,rx_ucb_fresh,true
c0a7b4180fa546725dfc4b2e,phase3cp_00035,phase3cp_00035,random_orthogonal,random_orthogonal,true
cb9eab78dc5c9f512d674c95,phase3cp_00026,phase3cp_00026,event_state,event_state,true
302c068ebfff8ae1c3e35c64,phase3cp_00024,phase3cp_00024,challenger_repair,challenger_repair,true
c70cc97d5c573accb984ae6f,phase3cp_00016,phase3cp_00016,typed_ast_fresh,typed_ast_fresh,true
eb4b97fd2cd1153daeddd57c,phase3cp_00012,phase3cp_00012,typed_ast_fresh,typed_ast_fresh,true
